review,emotion_label
"Nice soft tee for my husband for Father's Day.Bright, attractive graphic as displayed on site.Timely production and delivery.Thank you!",0
"The shirt arrived rather quickly after ordering it, however, the product wasn���������t really the quality or sizing expected. It was short and wide, and the printed product wasn���������t really of good quality. I don�������",4
I have purchased 3 tshirts from Teepublic and I am SO extremely happy with my purchases!Such amazing quality shirts! Better than expected. Will definetely be purchasing more and would definetely recommend to others.,1
Our order was perfect. Thank you,0
This was my first purchase with tee public and I���������m so happy with my Rainbow Bright hoodie! Fits perfectly and the design is exactly as described. Will be purchasing fro,1
"Im so disappointed in the quality for this. I knew ordering from this site was a risk but dang dude the whole sweater is garbage. Im more upset i paid 50 bucks for a sweater that looks like a grade school student made it. There is bearly any color the shadowed on the avatar, doesnt even look like freakin avatar. You can't see the arrow on his head like you can in the picture posted. There is color at the button a bit but NOTHING LIKE THE PICTURE. You need to update it on the display picture because the quality you produce, looks nothing like the picture you post. This whole sweater selling point for me, was the colors. It would be chill if they were a bit faded but dude you didnt even try it seems. Just collecting money. Wont order again for this seller.",3
"Fantastic customer care. T-shirts are good quality and the print looks great. The textile smells a little bit, but nothing bad and an overnight airing on the balcony fixed it. Thank you!",0
Thank you for my awesome sghirt... Perfect for this time in our lives..,0
"Got what i ordered, the way i ordered it. No complaints here.",6
"Fun design, great quality work, and shipping was faster than anticipated. We are so happy, definitely reccomend!",1
I placed an order for t-shirts and stickers. I received the t-shirts timely and they are great. I received notice the stickers has been shipped but the tracking never has any information and I never received the stickers. Very disappointing.,3
Great customer service.I had a problem with my order and they made it right fast and easy.Thanks!!,0
XL female fit was too small. I buy XL at retailers in Canada and usually fits great. I'm disappointed I can't wear the shirt to promote my favorite podcast. :(,3
"My first purchase, the shipping was on time and the quality of the shirts are amazing!Thank you :)",0
"I love the shirts I got but, I just wish the material was more substantial.It is quite thin.I mean....I wouldn't even mind paying a bit more for better quality material.The shirts I ordered were so cute...just needed to be a bit heavier.Thanks.Hope you consider doing this.",0
"They deliver like they say they would.I ordered the wrong size and true to their word they let me exchange it for bigger with no issues or problems.I text chatted with a customer service rep and he was very nice and pleasant and had me measure one of my tee shirts at home and I gave him the measurements and he gave me the exact size I would need.I have kept my order and size so I can order again when I want something.Thank you for doing such a great job on my tee shirt, I just love it and the color.",0
"Every time I order from TeePublic, it's nothing but a smooth process. If I ever need an exchange or have a question about my order, the Customer Service is phenomenal. All the employees are very courteous, and unlike other companies that take days/weeks to respond, when you send an email to TeePublic, they respond within 24 hours, if not minutes.I now solely use TeePublic when I want long-lasting, well-made T-shirts at great value. So very grateful.",0
There was a mishap with my order and it was corrected very quickly and with such ease. I love the sweatshirts...good quality! The second one arrived today and was perfect! Thanks so much...I will definitely do business with TeePublic again!,0
I am very disappointed in the quality of the T-shirt I received. Did anyone even look at this shirt before shipping it???It is very poor quality. I am returning it and demanding a refund. I loved this shirt. If only it would have been done professionally.,3
"The hoodie was great and the design was perfect (Micheal vs Micheal, who's the real GOAT). The recipient was beyond stoked to see his gift.Thank you for making such a cool product. WILL DEFINITELY TRY TO ORDER FROM THIS SITE IN THE FUTURE. THANK YOU SO MUCH",0
"Great design of tshirt. The website is easy to navigate, many sizes available. The shipping was fast. Great experience, I will buy more. Thanks!",0
"Great original shirts, thanks!",0
"While i never received my order the first time as it got lost in the mail, your prompt attention to resolve my issue was awesome.I received my replacement order in a timely fashion.Thanks",0
